site_id,capture_date,survey_year,period_id,pit_tag_id,swab_id,bd_load
70550,2013-08-18,2013,8.7.1,118001058990,USGS1601,0
70550,2013-08-18,2013,8.7.1,118001060654,USGS1611,5298.14
70550,2013-08-18,2013,8.7.1,121019062559,USGS1589,95825.76
70550,2013-08-20,2013,8.7.2,118001027880,USGS1590,0
70550,2013-08-20,2013,8.7.2,118001028223,USGS1586,27383.38
70550,2013-08-20,2013,8.7.2,118001028883,USGS1594,3539.27
70550,2013-08-20,2013,8.7.2,118001029309,USGS1583,0
70550,2013-08-20,2013,8.7.2,118001029455,USGS1615,718.37
70550,2013-08-20,2013,8.7.2,118001029514,USGS1621,0
70550,2013-08-20,2013,8.7.2,118001030574,USGS1634,18157.97
70550,2013-08-20,2013,8.7.2,118001057958,USGS1606,485.35
70550,2013-08-20,2013,8.7.2,118001058131,USGS1599,0
70550,2013-08-20,2013,8.7.2,118001058945,USGS1635,221.87
70550,2013-08-20,2013,8.7.2,118001058971,USGS1595,0
70550,2013-08-20,2013,8.7.2,121019077514,USGS1582,1906.36
70550,2013-08-26,2013,8.8.1,118001027880,USGS1644,5845.97
70550,2013-08-26,2013,8.8.1,118001028177,USGS1651,0
70550,2013-08-26,2013,8.8.1,118001028687,USGS1667,1211.16
70550,2013-08-26,2013,8.8.1,118001028832,USGS1661,113.09
70550,2013-08-26,2013,8.8.1,118001028883,USGS1642,490.54
70550,2013-08-26,2013,8.8.1,118001028936,USGS1660,292.47
70550,2013-08-26,2013,8.8.1,118001029269,USGS1654,2727.89
70550,2013-08-26,2013,8.8.1,118001029555,USGS1648,441.5
70550,2013-08-26,2013,8.8.1,118001029643,USGS1650,535.92
70550,2013-08-26,2013,8.8.1,118001029951,USGS1664,0
70550,2013-08-26,2013,8.8.1,118001030540,USGS1655,477.36
70550,2013-08-26,2013,8.8.1,118001031652,USGS1663,1568.67
70550,2013-08-26,2013,8.8.1,118001057432,USGS1671,16597.01
70550,2013-08-26,2013,8.8.1,118001057815,USGS1641,478.7
70550,2013-08-26,2013,8.8.1,118001058131,USGS1640,6728.59
70550,2013-08-26,2013,8.8.1,118001058242,USGS1666,34903.49
70550,2013-08-26,2013,8.8.1,118001058633,USGS1652,38.98
70550,2013-08-26,2013,8.8.1,118001058971,USGS1658,713952
70550,2013-08-26,2013,8.8.1,118001058990,USGS1643,328.6
70550,2013-08-26,2013,8.8.1,118001059340,USGS1665,3375.02
70550,2013-08-26,2013,8.8.1,118001059850,USGS1662,66602.4
70550,2013-08-26,2013,8.8.1,118001059949,USGS1645,386.38
70550,2013-08-26,2013,8.8.1,118001060518,USGS1653,4893.26
70550,2013-08-26,2013,8.8.1,118001065064,USGS1649,263.52
70550,2013-08-26,2013,8.8.1,118001065568,USGS1656,5420.78
70550,2013-08-26,2013,8.8.1,121019091883,USGS1670,0
70550,2013-08-27,2013,8.8.2,118001027685,USGS1672,236.41
70550,2013-08-27,2013,8.8.2,118001028032,USGS1690,0
70550,2013-08-27,2013,8.8.2,118001028229,USGS1700,0
70550,2013-08-27,2013,8.8.2,118001028883,NA,NA
70550,2013-08-27,2013,8.8.2,118001029284,USGS1704,236.06
70550,2013-08-27,2013,8.8.2,118001029309,USGS1702,1144.71
70550,2013-08-27,2013,8.8.2,118001029455,USGS1703,269.99
70550,2013-08-27,2013,8.8.2,118001030163,USGS1692,18819.5
70550,2013-08-27,2013,8.8.2,118001030574,USGS1713,2735.85
70550,2013-08-27,2013,8.8.2,118001030920,USGS1693,895.56
70550,2013-08-27,2013,8.8.2,118001030965,USGS1712,0
70550,2013-08-27,2013,8.8.2,118001031019,USGS1668,227.77
70550,2013-08-27,2013,8.8.2,118001031211,NA,NA
70550,2013-08-27,2013,8.8.2,118001031348,USGS1685,4498.17
70550,2013-08-27,2013,8.8.2,118001057432,NA,NA
70550,2013-08-27,2013,8.8.2,118001057462,USGS1736,0
70550,2013-08-27,2013,8.8.2,118001057579,USGS1710,0
70550,2013-08-27,2013,8.8.2,118001057815,NA,NA
70550,2013-08-27,2013,8.8.2,118001057978,USGS1709,0
70550,2013-08-27,2013,8.8.2,118001058025,NA,NA
70550,2013-08-27,2013,8.8.2,118001058633,NA,NA
70550,2013-08-27,2013,8.8.2,118001058842,NA,NA
70550,2013-08-27,2013,8.8.2,118001058945,USGS1675,48.79
70550,2013-08-27,2013,8.8.2,118001058953,NA,NA
70550,2013-08-27,2013,8.8.2,118001058971,NA,NA
70550,2013-08-27,2013,8.8.2,118001059949,NA,NA
70550,2013-08-27,2013,8.8.2,118001060654,USGS1711,1022.09
70550,2013-08-27,2013,8.8.2,118001061228,USGS1687,127.81
70550,2013-08-27,2013,8.8.2,118001065064,NA,NA
70550,2013-08-27,2013,8.8.2,118001065797,USGS1691,12312.82
70550,2013-08-27,2013,8.8.2,121013702904,NA,NA
70550,2013-08-27,2013,8.8.2,121013711006,USGS1726,112767.36
70550,2013-08-27,2013,8.8.2,121013713983,USGS1688,1558.01
70550,2013-08-27,2013,8.8.2,900043000104478,USGS1669,6281.38
70550,2013-08-28,2013,8.8.3,118001027458,USGS1698,1355.9
70550,2013-08-28,2013,8.8.3,118001027569,NA,NA
70550,2013-08-28,2013,8.8.3,118001027685,NA,NA
70550,2013-08-28,2013,8.8.3,118001028032,NA,NA
70550,2013-08-28,2013,8.8.3,118001028223,USGS1721,9833.9
70550,2013-08-28,2013,8.8.3,118001028883,NA,NA
70550,2013-08-28,2013,8.8.3,118001029284,NA,NA
70550,2013-08-28,2013,8.8.3,118001029309,NA,NA
70550,2013-08-28,2013,8.8.3,118001029455,NA,NA
70550,2013-08-28,2013,8.8.3,118001029486,USGS1755,541.53
70550,2013-08-28,2013,8.8.3,118001029514,USGS1735,535.25
70550,2013-08-28,2013,8.8.3,118001029643,NA,NA
70550,2013-08-28,2013,8.8.3,118001029951,NA,NA
70550,2013-08-28,2013,8.8.3,118001030093,USGS1750,95718.72
70550,2013-08-28,2013,8.8.3,118001030142,NA,NA
70550,2013-08-28,2013,8.8.3,118001030522,USGS1738,633.36
70550,2013-08-28,2013,8.8.3,118001030572,USGS1705,17847.12
70550,2013-08-28,2013,8.8.3,118001030574,NA,NA
70550,2013-08-28,2013,8.8.3,118001030920,NA,NA
70550,2013-08-28,2013,8.8.3,118001030965,NA,NA
70550,2013-08-28,2013,8.8.3,118001030982,USGS1708,6903.46
70550,2013-08-28,2013,8.8.3,118001057441,USGS1753,3656.14
70550,2013-08-28,2013,8.8.3,118001057579,NA,NA
70550,2013-08-28,2013,8.8.3,118001057927,USGS1719,4659.47
70550,2013-08-28,2013,8.8.3,118001058025,USGS1715,2465.81
70550,2013-08-28,2013,8.8.3,118001058242,USGS1727,0.57
70550,2013-08-28,2013,8.8.3,118001058633,NA,NA
70550,2013-08-28,2013,8.8.3,118001058842,NA,NA
70550,2013-08-28,2013,8.8.3,118001058953,USGS1701,804.95
70550,2013-08-28,2013,8.8.3,118001058971,NA,NA
70550,2013-08-28,2013,8.8.3,118001060518,NA,NA
70550,2013-08-28,2013,8.8.3,118001060654,NA,NA
70550,2013-08-28,2013,8.8.3,118001065797,NA,NA
70550,2013-08-28,2013,8.8.3,121013713983,NA,NA
70550,2013-08-28,2013,8.8.3,121019050588,USGS1695,32.57
70550,2013-08-28,2013,8.8.3,121019094637,USGS1742,0
70550,2013-09-09,2013,8.9.1,118001027685,USGS1707,255.55
70550,2013-09-09,2013,8.9.1,118001028223,USGS1696,4109.74
70550,2013-09-09,2013,8.9.1,118001029529,USGS1731,0
70550,2013-09-09,2013,8.9.1,118001057432,USGS1717,50976
70550,2013-09-09,2013,8.9.1,118001058025,USGS1743,1230.84
70550,2013-09-09,2013,8.9.1,118001058489,USGS1720,0
70550,2013-09-09,2013,8.9.1,118001058599,USGS1752,0
70550,2013-09-09,2013,8.9.1,118001065568,USGS1751,4430.36
70550,2013-09-09,2013,8.9.1,121013702904,USGS1747,0
70550,2013-09-10,2013,8.9.2,118001027748,USGS1732,180.64
70550,2013-09-10,2013,8.9.2,118001027764,USGS1571,0
70550,2013-09-10,2013,8.9.2,118001027880,USGS1716,1844.7
70550,2013-09-10,2013,8.9.2,118001027927,USGS1573,0
70550,2013-09-10,2013,8.9.2,118001028223,NA,NA
70550,2013-09-10,2013,8.9.2,118001028229,USGS1689,13.97
70550,2013-09-10,2013,8.9.2,118001028627,USGS1384,0
70550,2013-09-10,2013,8.9.2,118001029284,USGS1684,9.21
70550,2013-09-10,2013,8.9.2,118001029309,USGS1575,65.91
70550,2013-09-10,2013,8.9.2,118001029375,USGS1553,0
70550,2013-09-10,2013,8.9.2,118001029442,USGS1564,4.01
70550,2013-09-10,2013,8.9.2,118001029486,USGS1749,0
70550,2013-09-10,2013,8.9.2,118001029555,USGS1725,346.77
