time,date,temp_c
1100,2012-07-13,18.88888888888889
1200,2012-07-13,18.88888888888889
1300,2012-07-13,19.444444444444443
1400,2012-07-13,18.88888888888889
1500,2012-07-13,18.88888888888889
1e3,2012-07-14,16.666666666666668
1100,2012-07-14,17.22222222222222
1200,2012-07-14,17.77777777777778
1300,2012-07-14,18.333333333333332
1400,2012-07-14,19.444444444444443
1500,2012-07-14,18.333333333333332
1e3,2012-07-15,14.444444444444445
1100,2012-07-15,15.555555555555555
1200,2012-07-15,17.77777777777778
1300,2012-07-15,17.22222222222222
1400,2012-07-15,18.333333333333332
1500,2012-07-15,18.88888888888889
1e3,2012-07-16,14.444444444444445
1100,2012-07-16,15.555555555555555
1200,2012-07-16,15
1300,2012-07-16,15.555555555555555
1400,2012-07-16,15.555555555555555
1500,2012-07-16,15.555555555555555
1e3,2012-07-17,13.88888888888889
1100,2012-07-17,13.88888888888889
1200,2012-07-17,14.444444444444445
1300,2012-07-17,15.555555555555555
1400,2012-07-17,16.11111111111111
1500,2012-07-17,16.11111111111111
1e3,2012-07-18,14.444444444444445
1100,2012-07-18,16.11111111111111
1200,2012-07-18,16.666666666666668
1300,2012-07-18,16.11111111111111
1400,2012-07-18,16.11111111111111
1500,2012-07-18,17.77777777777778
1e3,2012-07-19,8.333333333333334
1100,2012-07-19,8.88888888888889
1200,2012-07-19,10
1300,2012-07-19,10.555555555555555
1400,2012-07-19,11.11111111111111
1500,2012-07-19,12.777777777777779
1e3,2012-07-20,14.444444444444445
1100,2012-07-20,15
1200,2012-07-20,16.11111111111111
1300,2012-07-20,17.22222222222222
1400,2012-07-20,17.77777777777778
1500,2012-07-20,18.333333333333332
1e3,2012-07-21,15.555555555555555
1100,2012-07-21,17.77777777777778
1200,2012-07-21,18.333333333333332
1300,2012-07-21,19.444444444444443
1400,2012-07-21,20
1500,2012-07-21,20
1e3,2012-07-22,19.444444444444443
1100,2012-07-22,20
1200,2012-07-22,20
1300,2012-07-22,20
1400,2012-07-22,20
1500,2012-07-22,17.77777777777778
1e3,2012-07-23,13.333333333333334
1100,2012-07-23,15.555555555555555
1200,2012-07-23,16.666666666666668
1300,2012-07-23,17.22222222222222
1400,2012-07-23,17.22222222222222
1500,2012-07-23,17.22222222222222
1e3,2012-07-24,15.555555555555555
1100,2012-07-24,17.22222222222222
1200,2012-07-24,18.333333333333332
1300,2012-07-24,18.88888888888889
1400,2012-07-24,17.77777777777778
1500,2012-07-24,19.444444444444443
1e3,2012-07-25,16.666666666666668
1100,2012-07-25,18.333333333333332
1200,2012-07-25,21.11111111111111
1300,2012-07-25,21.666666666666668
1400,2012-07-25,20.555555555555557
1500,2012-07-25,20.555555555555557
1e3,2012-07-26,16.666666666666668
1100,2012-07-26,17.77777777777778
1200,2012-07-26,18.88888888888889
1300,2012-07-26,20
1400,2012-07-26,19.444444444444443
1500,2012-07-26,18.88888888888889
1e3,2012-07-27,15.555555555555555
1100,2012-07-27,16.666666666666668
1200,2012-07-27,19.444444444444443
1300,2012-07-27,19.444444444444443
1400,2012-07-27,20
1500,2012-07-27,19.444444444444443
1e3,2012-07-28,15
1100,2012-07-28,18.333333333333332
1200,2012-07-28,18.88888888888889
1300,2012-07-28,20.555555555555557
1400,2012-07-28,20
1500,2012-07-28,20
1e3,2012-07-29,16.11111111111111
1100,2012-07-29,18.333333333333332
1200,2012-07-29,21.11111111111111
1300,2012-07-29,21.666666666666668
1400,2012-07-29,21.11111111111111
1500,2012-07-29,21.666666666666668
1e3,2012-07-30,19.444444444444443
1100,2012-07-30,20.555555555555557
1200,2012-07-30,20.555555555555557
1300,2012-07-30,21.11111111111111
1400,2012-07-30,22.22222222222222
1500,2012-07-30,22.22222222222222
1e3,2012-07-31,20
1100,2012-07-31,20.555555555555557
1200,2012-07-31,21.11111111111111
1300,2012-07-31,21.666666666666668
1400,2012-07-31,21.666666666666668
1500,2012-07-31,21.666666666666668
1e3,2012-08-01,18.88888888888889
1100,2012-08-01,19.444444444444443
1200,2012-08-01,20.555555555555557
1300,2012-08-01,21.11111111111111
1400,2012-08-01,21.666666666666668
1500,2012-08-01,21.666666666666668
1e3,2012-08-02,19.444444444444443
1100,2012-08-02,19.444444444444443
1200,2012-08-02,21.666666666666668
1300,2012-08-02,21.666666666666668
1400,2012-08-02,22.22222222222222
1500,2012-08-02,21.666666666666668
1e3,2012-08-03,20.555555555555557
1100,2012-08-03,20
1200,2012-08-03,22.22222222222222
1300,2012-08-03,22.77777777777778
1400,2012-08-03,22.22222222222222
1500,2012-08-03,21.666666666666668
1e3,2012-08-04,16.666666666666668
1100,2012-08-04,18.333333333333332
1200,2012-08-04,20
1300,2012-08-04,18.88888888888889
1400,2012-08-04,20
1500,2012-08-04,20
1e3,2012-08-05,16.11111111111111
1100,2012-08-05,16.666666666666668
1200,2012-08-05,17.22222222222222
1300,2012-08-05,16.11111111111111
1400,2012-08-05,18.333333333333332
1500,2012-08-05,16.666666666666668
1e3,2012-08-06,17.22222222222222
1100,2012-08-06,17.77777777777778
1200,2012-08-06,19.444444444444443
1300,2012-08-06,20
1400,2012-08-06,18.88888888888889
1500,2012-08-06,20.555555555555557
1e3,2012-08-07,18.88888888888889
1100,2012-08-07,20
1200,2012-08-07,20.555555555555557
1300,2012-08-07,21.666666666666668
1400,2012-08-07,21.666666666666668
1500,2012-08-07,21.11111111111111
1e3,2012-08-08,20.555555555555557
1100,2012-08-08,21.11111111111111
1200,2012-08-08,21.11111111111111
1300,2012-08-08,21.666666666666668
1400,2012-08-08,22.22222222222222
1500,2012-08-08,22.22222222222222
1e3,2012-08-09,20.555555555555557
1100,2012-08-09,22.22222222222222
1200,2012-08-09,22.22222222222222
1300,2012-08-09,22.22222222222222
1400,2012-08-09,22.22222222222222
